Pokemon,Dex_Number,Move_Count,All_Moves
Musharna,518,35,Amnesia; Calm Mind; Charge Beam; Charm; Curse; Dazzling Gleam; Double Team; Dream Eater; Endure; Energy Ball; Facade; Future Sight; Giga Impact; Heal Block; Hyper Beam; Hypnosis; Light Screen; Moonblast; Moonlight; Ominous Wind; Protect; Psybeam; Psychic; Psyshock; Reflect; Rock Slide; Rock Tomb; Safeguard; Shadow Ball; Silver Wind; Substitute; Swift; Thunder Wave; Tri Attack; Zen Headbutt
Jigglypuff,039,104,Alluring Voice; Amnesia; Baton Pass; Blizzard; Body Press; Body Slam; Brick Break; Calm Mind; Charm; Chilling Water; Confusion; Copycat; Covet; Dark Pulse; Dazzling Gleam; Defense Curl; Dig; Disable; Disarming Voice; Double-Edge; Drain Punch; Draining Kiss; Dream Eater; Echoed Voice; Encore; Endeavor; Endure; Energy Ball; Facade; Fake Out; Fake Tears; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Punch; Grass Knot; Gravity; Gyro Ball; Headbutt; Heal Pulse; Helping Hand; Hyper Voice; Ice Beam; Ice Punch; Ice Spinner; Icy Wind; Knock Off; Last Resort; Light Screen; Magical Leaf; Metronome; Mimic; Misty Explosion; Misty Terrain; Moonblast; Nasty Plot; Pain Split; Perish Song; Play Rough; Pound; Present; Protect; Psych Up; Psychic; Psychic Noise; Psyshock; Rain Dance; Reflect; Rest; Rollout; Round; Sandstorm; Self-Destruct; Shadow Ball; Sing; Skill Swap; Sleep Talk; Solar Beam; Spit Up; Stealth Rock; Stockpile; Stored Power; Substitute; Sunny Day; Swallow; Sweet Kiss; Swift; Tackle; Take Down; Taunt; Tera Blast; Thief; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Trailblaze; Tri Attack; Uproar; Water Pulse; Wild Charge; Wish; Zen Headbutt
Baxcalibur,998,60,Aerial Ace; Aqua Tail; Avalanche; Bite; Blizzard; Body Press; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Crunch; Dig; Double-Edge; Draco Meteor; Dragon Breath; Dragon Cheer; Dragon Claw; Dragon Dance; Dragon Pulse; Dragon Rush; Dragon Tail; Earthquake; Endure; Facade; False Swipe; Focus Energy; Freeze-Dry; Frost Breath; Giga Impact; Glaive Rush; Helping Hand; High Horsepower; Hyper Beam; Ice Beam; Ice Fang; Ice Hammer; Ice Shard; Icicle Crash; Icicle Spear; Icy Wind; Iron Head; Leer; Outrage; Protect; Psychic Fangs; Rain Dance; Rest; Scale Shot; Scary Face; Sheer Cold; Sleep Talk; Snowscape; Stomping Tantrum; Substitute; Swords Dance; Tackle; Take Down; Tera Blast; Thunder Fang; Zen Headbutt
Amoonguss,591,53,Absorb; Astonish; Body Slam; Bullet Seed; Clear Smog; Dazzling Gleam; Defense Curl; Endure; Energy Ball; Facade; First Impression; Foul Play; Giga Drain; Giga Impact; Grass Knot; Grassy Terrain; Growth; Heal Block; Hex; Hyper Beam; Ingrain; Leaf Storm; Magical Leaf; Mega Drain; Mimic; Mud Shot; Poison Powder; Pollen Puff; Protect; Rage Powder; Rain Dance; Rest; Rollout; Scary Face; Seed Bomb; Skull Bash; Sleep Talk; Sludge Bomb; Solar Beam; Spore; Stomping Tantrum; Stun Spore; Substitute; Sunny Day; Swagger; Sweet Scent; Synthesis; Tera Blast; Torment; Toxic; Toxic Spikes; Venoshock; Worry Seed
Emboar,500,95,Arm Thrust; Assurance; Blast Burn; Body Press; Body Slam; Brick Break; Bulk Up; Bulldoze; Circle Throw; Close Combat; Coaching; Comet Punch; Curse; Defense Curl; Dig; Double Team; Double-Edge; Drain Punch; Dual Chop; Earthquake; Ember; Endeavor; Endure; Facade; Fire Blast; Fire Pledge; Fire Punch; Fire Spin; Flame Charge; Flame Wheel; Flamethrower; Flare Blitz; Fling; Focus Blast; Focus Energy; Focus Punch; Giga Impact; Grass Knot; Gyro Ball; Hammer Arm; Hard Press; Head Smash; Headbutt; Heat Crash; Heat Wave; Heavy Slam; Helping Hand; High Horsepower; Hyper Beam; Iron Head; Knock Off; Low Kick; Low Sweep; Mud-Slap; Overheat; Poison Jab; Power-Up Punch; Protect; Rest; Reversal; Roar; Rock Slide; Rock Smash; Rock Tomb; Rollout; Scald; Scary Face; Sleep Talk; Smack Down; Smog; Smokescreen; Solar Beam; Solar Blade; Stomping Tantrum; Stone Edge; Storm Throw; Substitute; Sucker Punch; Sunny Day; Superpower; Tackle; Tail Whip; Take Down; Taunt; Temper Flare; Tera Blast; Thrash; Thunder Punch; Trailblaze; Vacuum Wave; Wild Charge; Will-O-Wisp; Work Up; Yawn; Zen Headbutt
Excadrill,530,62,Aerial Ace; Agility; Body Slam; Brick Break; Bulldoze; Crush Claw; Curse; Dig; Double-Edge; Drill Run; Earth Power; Earthquake; Endure; Facade; Fissure; Fling; Focus Blast; Fury Swipes; Giga Impact; Helping Hand; High Horsepower; Hone Claws; Horn Drill; Hyper Beam; Iron Defense; Iron Head; Leer; Megahorn; Metal Claw; Metal Sound; Mud Shot; Mud-Slap; Poison Jab; Protect; Rapid Spin; Rest; Rock Blast; Rock Slide; Rock Smash; Rock Tomb; Sand Tomb; Sandstorm; Scary Face; Scorching Sands; Scratch; Shadow Claw; Skull Bash; Slash; Sleep Talk; Sludge Bomb; Smart Strike; Stealth Rock; Steel Beam; Stomping Tantrum; Substitute; Sunny Day; Swords Dance; Tackle; Take Down; Tera Blast; Throat Chop; X-Scissor
Annihilape,979,96,Acrobatics; Assurance; Beat Up; Body Slam; Brick Break; Bulk Up; Bulldoze; Circle Throw; Close Combat; Coaching; Comet Punch; Counter; Covet; Cross Chop; Curse; Dig; Double-Edge; Drain Punch; Dual Chop; Dynamic Punch; Earthquake; Encore; Endeavor; Endure; Facade; Final Gambit; Fire Punch; Fling; Focus Blast; Focus Energy; Focus Punch; Fury Swipes; Giga Impact; Gunk Shot; Headbutt; Helping Hand; Hyper Beam; Ice Punch; Knock Off; Lash Out; Leer; Low Kick; Low Sweep; Metronome; Night Shade; Night Slash; Outrage; Overheat; Pay Day; Phantom Force; Poison Jab; Power-Up Punch; Protect; Rage Fist; Rain Dance; Rest; Reversal; Roar; Rock Slide; Rock Smash; Rock Throw; Rock Tomb; Scary Face; Scratch; Screech; Seed Bomb; Seismic Toss; Shadow Ball; Shadow Claw; Shadow Punch; Sleep Talk; Smack Down; Spite; Stealth Rock; Stomping Tantrum; Stone Edge; Storm Throw; Substitute; Sunny Day; Swagger; Swift; Tackle; Take Down; Taunt; Tera Blast; Thief; Thrash; Throat Chop; Thunder; Thunder Punch; Thunderbolt; Torment; U-turn; Uproar; Vacuum Wave; Work Up
Stunfisk,618,42,Bounce; Bulldoze; Charge; Crunch; Curse; Dig; Discharge; Earth Power; Earthquake; Eerie Impulse; Electroweb; Endure; Facade; Fissure; Flash Cannon; Ice Fang; Iron Defense; Magnet Bomb; Metal Claw; Metal Sound; Mud Shot; Muddy Water; Protect; Rock Slide; Rock Tomb; Scald; Screech; Sludge Bomb; Sludge Wave; Spark; Stealth Rock; Steel Beam; Stone Edge; Substitute; Surf; Tackle; Thunder; Thunder Shock; Thunder Wave; Thunderbolt; Toxic; Water Gun
Garchomp,445,69,Aerial Ace; Bite; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Crunch; Dig; Double-Edge; Draco Meteor; Dragon Breath; Dragon Cheer; Dragon Claw; Dragon Pulse; Dragon Rush; Dragon Tail; Dual Chop; Earth Power; Earthquake; Endure; Facade; False Swipe; Fire Blast; Fire Fang; Flamethrower; Fling; Giga Impact; Helping Hand; Hyper Beam; Iron Head; Iron Tail; Liquidation; Metal Claw; Mud Shot; Nasty Plot; Outrage; Poison Jab; Power Gem; Protect; Rain Dance; Razor Wind; Rest; Rock Slide; Rock Tomb; Sand Attack; Sand Tomb; Sandstorm; Scale Shot; Scary Face; Scorching Sands; Shadow Claw; Slash; Sleep Talk; Spikes; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Surf; Swift; Swords Dance; Tackle; Take Down; Tera Blast; Thrash; Thunder Fang; Twister; Vacuum Wave
Hippowdon,450,52,Amnesia; Bite; Body Press; Body Slam; Bulldoze; Crunch; Curse; Dig; Double-Edge; Earth Power; Earthquake; Endure; Facade; Fire Fang; Fissure; Giga Impact; Hard Press; Heavy Slam; Helping Hand; High Horsepower; Hyper Beam; Hyper Voice; Ice Fang; Iron Head; Mud Shot; Mud-Slap; Muddy Water; Protect; Rest; Roar; Rock Slide; Rock Tomb; Sand Attack; Sand Tomb; Sandstorm; Scorching Sands; Slack Off; Sleep Talk; Spit Up; Stealth Rock; Stockpile; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Swallow; Tackle; Take Down; Tera Blast; Thunder Fang; Whirlwind; Yawn
Mewtwo,150,113,Aerial Ace; Agility; Amnesia; Ancient Power; Aura Sphere; Avalanche; Blizzard; Body Slam; Brick Break; Bulk Up; Bulldoze; Calm Mind; Chilling Water; Comet Punch; Confuse Ray; Confusion; Curse; Dark Pulse; Disable; Discharge; Double-Edge; Drain Punch; Dream Eater; Earth Power; Earthquake; Electro Ball; Endure; Energy Ball; Expanding Force; Facade; Fire Blast; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Punch; Foul Play; Future Sight; Giga Impact; Grass Knot; Gravity; Guard Swap; Heal Block; Helping Hand; Hex; Hurricane; Hyper Beam; Ice Beam; Ice Punch; Icy Wind; Imprison; Iron Tail; Knock Off; Lash Out; Life Dew; Light Screen; Low Kick; Low Sweep; Metronome; Mist; Nasty Plot; Night Shade; Pay Day; Poison Jab; Power Gem; Power Swap; Protect; Psybeam; Psych Up; Psychic; Psychic Noise; Psychic Terrain; Psycho Cut; Psyshock; Psystrike; Rain Dance; Recover; Reflect; Rest; Reversal; Rock Slide; Rock Tomb; Safeguard; Sandstorm; Scary Face; Self-Destruct; Shadow Ball; Skill Swap; Sleep Talk; Solar Beam; Spite; Stomping Tantrum; Stone Edge; Stored Power; Substitute; Sunny Day; Swift; Take Down; Taunt; Tera Blast; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Toxic; Trailblaze; Tri Attack; Trick; Trick Room; Vacuum Wave; Weather Ball; Will-O-Wisp; Zen Headbutt
Kangaskhan,115,53,Aerial Ace; Bite; Blizzard; Body Slam; Brick Break; Bulldoze; Circle Throw; Comet Punch; Crunch; Dig; Double Hit; Double-Edge; Drain Punch; Dual Chop; Dynamic Punch; Earthquake; Endure; Facade; Fake Out; Fire Blast; Fire Punch; Flamethrower; Focus Blast; Focus Energy; Giga Impact; Growl; Headbutt; Hydro Pump; Hyper Beam; Ice Beam; Ice Punch; Iron Tail; Outrage; Power-Up Punch; Power-up Punch; Protect; Roar; Rock Slide; Rock Tomb; Safeguard; Shadow Ball; Shadow Claw; Solar Beam; Substitute; Surf; Tackle; Tail Whip; Take Down; Thunder; Thunder Punch; Thunderbolt; Whirlpool; Work Up
Rayquaza,384,77,Aerial Ace; Air Slash; Ancient Power; Avalanche; Blizzard; Body Slam; Breaking Swipe; Brick Break; Brutal Swing; Bulk Up; Bulldoze; Crunch; Double-Edge; Draco Meteor; Dragon Ascent; Dragon Cheer; Dragon Claw; Dragon Dance; Dragon Pulse; Dragon Rush; Dragon Tail; Earth Power; Earthquake; Endure; Energy Ball; Extreme Speed; Facade; Fire Blast; Flamethrower; Fling; Fly; Focus Blast; Giga Impact; Gyro Ball; Helping Hand; Hurricane; Hydro Pump; Hyper Beam; Hyper Voice; Ice Beam; Icy Wind; Iron Head; Iron Tail; Meteor Beam; Outrage; Overheat; Protect; Rain Dance; Rest; Roar; Rock Slide; Rock Tomb; Sandstorm; Scale Shot; Scary Face; Shadow Claw; Sleep Talk; Solar Beam; Stealth Rock; Stone Edge; Substitute; Sunny Day; Surf; Swift; Swords Dance; Tailwind; Take Down; Tera Blast; Thunder; Thunder Wave; Thunderbolt; Twister; U-turn; Waterfall; Whirlpool; Whirlwind; Wild Charge
Audino,531,45,Amnesia; Blizzard; Body Slam; Calm Mind; Dazzling Gleam; Dig; Disarming Voice; Double-Edge; Drain Punch; Draining Kiss; Endure; Facade; Fire Blast; Fire Punch; Flamethrower; Giga Impact; Growl; Hyper Beam; Hyper Voice; Ice Beam; Ice Punch; Icy Wind; Iron Tail; Light Screen; Power-Up Punch; Protect; Psychic; Psyshock; Reflect; Safeguard; Shadow Ball; Solar Beam; Substitute; Surf; Tackle; Take Down; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Tri Attack; Wild Charge; Wish; Work Up; Zen Headbutt
Aromatisse,683,32,Calm Mind; Charge Beam; Charm; Dazzling Gleam; Disarming Voice; Drain Punch; Draining Kiss; Dream Eater; Endure; Energy Ball; Facade; Fairy Wind; Fake Tears; Flash Cannon; Giga Impact; Heal Block; Hyper Beam; Hypnosis; Light Screen; Metronome; Moonblast; Nasty Plot; Ominous Wind; Protect; Psybeam; Psychic; Psyshock; Reflect; Silver Wind; Substitute; Thunderbolt; Wish
Tyranitar,248,94,Aerial Ace; Ancient Power; Assurance; Avalanche; Bite; Blizzard; Body Press; Body Slam; Breaking Swipe; Brick Break; Bulldoze; Crunch; Curse; Dark Pulse; Dig; Double-Edge; Dragon Claw; Dragon Dance; Dragon Pulse; Dragon Tail; Earth Power; Earthquake; Endure; Facade; Fire Blast; Fire Fang; Fire Punch; Flamethrower; Fling; Focus Blast; Focus Energy; Focus Punch; Foul Play; Giga Impact; Hard Press; Headbutt; Heavy Slam; Helping Hand; High Horsepower; Hydro Pump; Hyper Beam; Ice Beam; Ice Fang; Ice Punch; Icy Wind; Iron Defense; Iron Head; Knock Off; Lash Out; Leer; Low Kick; Mud Shot; Mud-Slap; Muddy Water; Outrage; Payback; Power Gem; Protect; Rain Dance; Rest; Roar; Rock Blast; Rock Slide; Rock Throw; Rock Tomb; Sand Tomb; Sandstorm; Scale Shot; Scary Face; Scorching Sands; Screech; Shadow Claw; Sleep Talk; Smack Down; Snarl; Spite; Stealth Rock; Stomp; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Surf; Swagger; Tackle; Take Down; Taunt; Tera Blast; Thrash; Thunder; Thunder Fang; Thunder Punch; Thunder Wave; Thunderbolt
Swampert,260,86,Amnesia; Ancient Power; Aqua Ring; Avalanche; Bite; Blizzard; Body Press; Body Slam; Brick Break; Bubble Beam; Bulk Up; Bulldoze; Chilling Water; Counter; Curse; Dig; Double-Edge; Earth Power; Earthquake; Endeavor; Endure; Facade; Fissure; Fling; Flip Turn; Focus Blast; Focus Punch; Giga Impact; Growl; Hammer Arm; Hard Press; Helping Hand; High Horsepower; Hydro Cannon; Hydro Pump; Hyper Beam; Ice Beam; Ice Punch; Icy Wind; Iron Tail; Knock Off; Liquidation; Low Kick; Mirror Coat; Mud Shot; Mud-Slap; Muddy Water; Outrage; Poison Jab; Protect; Rain Dance; Rest; Roar; Rock Slide; Rock Smash; Rock Throw; Rock Tomb; Sand Tomb; Scald; Scary Face; Screech; Sleep Talk; Sludge; Sludge Bomb; Sludge Wave; Smack Down; Stealth Rock; Stomp; Stomping Tantrum; Stone Edge; Substitute; Supersonic; Surf; Tackle; Take Down; Tera Blast; Uproar; Water Gun; Water Pledge; Water Pulse; Waterfall; Weather Ball; Whirlpool; Wide Guard; Work Up; Yawn
Swalot,317,71,Acid Armor; Acid Spray; Amnesia; Belch; Body Press; Body Slam; Brick Break; Bulldoze; Bullet Seed; Clear Smog; Curse; Destiny Bond; Double-Edge; Dream Eater; Earthquake; Encore; Endure; Explosion; Facade; Fire Punch; Fling; Gastro Acid; Giga Drain; Giga Impact; Gunk Shot; Helping Hand; Hyper Beam; Ice Beam; Ice Punch; Knock Off; Metronome; Mud Shot; Mud-Slap; Pain Split; Poison Gas; Poison Jab; Pound; Protect; Rain Dance; Rest; Rollout; Seed Bomb; Self-Destruct; Shadow Ball; Sing; Sleep Talk; Sludge; Sludge Bomb; Sludge Wave; Smog; Smokescreen; Solar Beam; Spit Up; Stockpile; Stuff Cheeks; Substitute; Sunny Day; Swallow; Swords Dance; Tackle; Take Down; Tera Blast; Thief; Thunder Punch; Thunder Wave; Toxic; Toxic Spikes; Venoshock; Water Pulse; Yawn; Zen Headbutt
Kyogre,382,52,Ancient Power; Aqua Ring; Aqua Tail; Avalanche; Blizzard; Body Slam; Brick Break; Bulldoze; Calm Mind; Chilling Water; Double-Edge; Earthquake; Endure; Facade; Giga Impact; Headbutt; Heavy Slam; Helping Hand; Hydro Pump; Hyper Beam; Ice Beam; Icicle Spear; Icy Wind; Iron Head; Liquidation; Muddy Water; Origin Pulse; Protect; Rain Dance; Rest; Roar; Rock Slide; Rock Smash; Rock Tomb; Safeguard; Scald; Scary Face; Sheer Cold; Sleep Talk; Substitute; Surf; Swagger; Swift; Take Down; Tera Blast; Thunder; Thunder Wave; Thunderbolt; Water Pulse; Water Spout; Waterfall; Whirlpool
Groudon,383,75,Aerial Ace; Ancient Power; Body Press; Body Slam; Brick Break; Bulk Up; Bulldoze; Crunch; Dig; Double-Edge; Dragon Claw; Dragon Pulse; Dynamic Punch; Earth Power; Earthquake; Endure; Eruption; Facade; Fire Blast; Fire Fang; Fire Punch; Fire Spin; Fissure; Flamethrower; Fling; Focus Blast; Focus Punch; Giga Impact; Hammer Arm; Heat Crash; Heat Wave; Heavy Slam; Helping Hand; High Horsepower; Hyper Beam; Iron Head; Iron Tail; Lava Plume; Metal Claw; Mud Shot; Mud-Slap; Overheat; Power Gem; Power-Up Punch; Precipice Blades; Protect; Rest; Roar; Rock Blast; Rock Slide; Rock Tomb; Safeguard; Sand Tomb; Sandstorm; Scary Face; Scorching Sands; Shadow Claw; Sleep Talk; Smack Down; Solar Beam; Spikes; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Swords Dance; Take Down; Tera Blast; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Will-O-Wisp; Zen Headbutt
Meloetta,648,79,Acrobatics; Agility; Alluring Voice; Baton Pass; Brick Break; Calm Mind; Charge Beam; Charm; Close Combat; Coaching; Comet Punch; Confusion; Dazzling Gleam; Disarming Voice; Double Team; Drain Punch; Dream Eater; Echoed Voice; Endure; Energy Ball; Facade; Fake Tears; Fire Punch; Fling; Flip Turn; Focus Blast; Focus Punch; Giga Impact; Grass Knot; Gravity; Helping Hand; Hyper Beam; Hyper Voice; Ice Punch; Knock Off; Light Screen; Low Kick; Low Sweep; Metronome; Mimic; Perish Song; Petal Dance; Play Rough; Power Gem; Power-Up Punch; Protect; Psybeam; Psych Up; Psychic; Psyshock; Quick Attack; Rain Dance; Relic Song; Rest; Reversal; Role Play; Round; Shadow Ball; Shadow Claw; Sing; Skill Swap; Sleep Talk; Stone Edge; Substitute; Sunny Day; Swift; Swords Dance; Teeter Dance; Tera Blast; Thunder; Thunder Punch; Thunder Wave; Thunderbolt; Trick; Trick Room; Triple Axel; U-turn; Work Up; Zen Headbutt
Garganacl,934,61,Ancient Power; Avalanche; Block; Body Press; Body Slam; Brick Break; Bulldoze; Curse; Dig; Double-Edge; Dynamic Punch; Earth Power; Earthquake; Endure; Explosion; Facade; Fire Punch; Fissure; Flash Cannon; Fling; Focus Punch; Giga Impact; Gravity; Hammer Arm; Hard Press; Harden; Headbutt; Heavy Slam; Helping Hand; Hyper Beam; Ice Punch; Iron Defense; Iron Head; Meteor Beam; Mud Shot; Power Gem; Protect; Rain Dance; Recover; Rest; Rock Blast; Rock Polish; Rock Slide; Rock Throw; Rock Tomb; Salt Cure; Sandstorm; Skull Bash; Sleep Talk; Smack Down; Stealth Rock; Stomping Tantrum; Stone Edge; Substitute; Sunny Day; Tackle; Take Down; Tera Blast; Thunder Punch; Wide Guard; Zen Headbutt
Corviknight,823,67,Aerial Ace; Agility; Air Cutter; Air Slash; Body Press; Body Slam; Brave Bird; Bulk Up; Curse; Defog; Double-Edge; Drill Peck; Dual Wingbeat; Endure; Facade; Fake Tears; Feather Dance; Flash Cannon; Fly; Fury Attack; Giga Impact; Gust; Heavy Slam; Hone Claws; Hurricane; Hyper Beam; Iron Defense; Iron Head; Leer; Light Screen; Magnet Bomb; Metal Claw; Metal Sound; Nasty Plot; Ominous Wind; Peck; Pluck; Power Trip; Protect; Rain Dance; Razor Wind; Reflect; Rest; Reversal; Rock Smash; Roost; Sand Attack; Scary Face; Screech; Sky Attack; Slash; Sleep Talk; Spite; Steel Beam; Steel Wing; Substitute; Sunny Day; Swagger; Swift; Tailwind; Take Down; Taunt; Tera Blast; Thief; U-turn; Wing Attack; Work Up
