Pokemon,Dex_Number,Move
Wigglytuff,040,Spit Up
Wigglytuff,040,Stealth Rock
Wigglytuff,040,Stockpile
Wigglytuff,040,Stored Power
Wigglytuff,040,Substitute
Wigglytuff,040,Sunny Day
Wigglytuff,040,Swallow
Wigglytuff,040,Sweet Kiss
Wigglytuff,040,Swift
Wigglytuff,040,Tackle
Wigglytuff,040,Take Down
Wigglytuff,040,Taunt
Wigglytuff,040,Tera Blast
Wigglytuff,040,Thief
Wigglytuff,040,Thunder
Wigglytuff,040,Thunder Punch
Wigglytuff,040,Thunder Wave
Wigglytuff,040,Thunderbolt
Wigglytuff,040,Trailblaze
Wigglytuff,040,Tri Attack
Wigglytuff,040,Uproar
Wigglytuff,040,Water Pulse
Wigglytuff,040,Wild Charge
Wigglytuff,040,Wish
Wigglytuff,040,Zen Headbutt
Melmetal,809,Acid Armor
Melmetal,809,Body Slam
Melmetal,809,Brick Break
Melmetal,809,Brutal Swing
Melmetal,809,Charge Beam
Melmetal,809,Discharge
Melmetal,809,Double Iron Bash
Melmetal,809,Dynamic Punch
Melmetal,809,Earthquake
Melmetal,809,Endure
Melmetal,809,Facade
Melmetal,809,Flash Cannon
Melmetal,809,Giga Impact
Melmetal,809,Harden
Melmetal,809,Headbutt
Melmetal,809,Heavy Slam
Melmetal,809,Hyper Beam
Melmetal,809,Ice Beam
Melmetal,809,Ice Punch
Melmetal,809,Iron Defense
Melmetal,809,Iron Head
Melmetal,809,Magnet Bomb
Melmetal,809,Protect
Melmetal,809,Rock Slide
Melmetal,809,Rock Tomb
Melmetal,809,Self-Destruct
Melmetal,809,Solar Beam
Melmetal,809,Steel Beam
Melmetal,809,Substitute
Melmetal,809,Tail Whip
Melmetal,809,Thunder
Melmetal,809,Thunder Punch
Melmetal,809,Thunder Shock
Melmetal,809,Thunder Wave
Melmetal,809,Thunderbolt
Vaporeon,134,Acid Armor
Vaporeon,134,Alluring Voice
Vaporeon,134,Aqua Ring
Vaporeon,134,Aurora Beam
Vaporeon,134,Baby-Doll Eyes
Vaporeon,134,Baton Pass
Vaporeon,134,Bite
Vaporeon,134,Blizzard
Vaporeon,134,Body Slam
Vaporeon,134,Bubble Beam
Vaporeon,134,Calm Mind
Vaporeon,134,Charm
Vaporeon,134,Chilling Water
Vaporeon,134,Copycat
Vaporeon,134,Covet
Vaporeon,134,Curse
Vaporeon,134,Detect
Vaporeon,134,Dig
Vaporeon,134,Disarming Voice
Vaporeon,134,Double Kick
Vaporeon,134,Double-Edge
Vaporeon,134,Endure
Vaporeon,134,Facade
Vaporeon,134,Fake Tears
Vaporeon,134,Flail
Vaporeon,134,Flip Turn
Vaporeon,134,Giga Impact
Vaporeon,134,Growl
Vaporeon,134,Haze
Vaporeon,134,Headbutt
Vaporeon,134,Helping Hand
Vaporeon,134,Hydro Pump
Vaporeon,134,Hyper Beam
Vaporeon,134,Hyper Voice
Vaporeon,134,Ice Beam
Vaporeon,134,Icy Wind
Vaporeon,134,Iron Tail
Vaporeon,134,Last Resort
Vaporeon,134,Liquidation
Vaporeon,134,Mimic
Vaporeon,134,Mud-Slap
Vaporeon,134,Muddy Water
Vaporeon,134,Protect
Vaporeon,134,Quick Attack
Vaporeon,134,Rain Dance
Vaporeon,134,Rest
Vaporeon,134,Roar
Vaporeon,134,Sand Attack
Vaporeon,134,Scald
Vaporeon,134,Shadow Ball
Vaporeon,134,Skull Bash
Vaporeon,134,Sleep Talk
Vaporeon,134,Stored Power
Vaporeon,134,Substitute
Vaporeon,134,Sunny Day
Vaporeon,134,Surf
Vaporeon,134,Swift
Vaporeon,134,Tackle
Vaporeon,134,Tail Whip
Vaporeon,134,Take Down
Vaporeon,134,Taunt
Vaporeon,134,Tera Blast
Vaporeon,134,Tickle
Vaporeon,134,Trailblaze
Vaporeon,134,Water Gun
Vaporeon,134,Water Pulse
Vaporeon,134,Waterfall
Vaporeon,134,Weather Ball
Vaporeon,134,Whirlpool
Vaporeon,134,Wish
Vaporeon,134,Yawn
Xerneas,716,Body Slam
Xerneas,716,Calm Mind
Xerneas,716,Close Combat
Xerneas,716,Dazzling Gleam
Xerneas,716,Endure
Xerneas,716,Facade
Xerneas,716,Flash Cannon
Xerneas,716,Focus Blast
Xerneas,716,Geomancy
Xerneas,716,Giga Impact
Xerneas,716,Horn Leech
Xerneas,716,Hyper Beam
Xerneas,716,Hyper Voice
Xerneas,716,Light Screen
Xerneas,716,Megahorn
Xerneas,716,Moonblast
Xerneas,716,Night Slash
Xerneas,716,Outrage
Xerneas,716,Petal Dance
Xerneas,716,Play Rough
Xerneas,716,Protect
Xerneas,716,Psychic
Xerneas,716,Psyshock
Xerneas,716,Reflect
Xerneas,716,Rock Slide
Xerneas,716,Seed Bomb
Xerneas,716,Silver Wind
Xerneas,716,Solar Blade
Xerneas,716,Substitute
Xerneas,716,Swift
Xerneas,716,Tackle
Xerneas,716,Take Down
Xerneas,716,Thunder
Xerneas,716,Thunder Wave
Xerneas,716,Thunderbolt
Xerneas,716,Trailblaze
Xerneas,716,Zen Headbutt
Yveltal,717,Air Slash
Yveltal,717,Body Slam
Yveltal,717,Dark Pulse
Yveltal,717,Double Team
Yveltal,717,Dragon Claw
Yveltal,717,Dragon Rush
Yveltal,717,Dream Eater
Yveltal,717,Dual Wingbeat
Yveltal,717,Endure
Yveltal,717,Facade
Yveltal,717,Fly
Yveltal,717,Focus Blast
Yveltal,717,Giga Impact
Yveltal,717,Gust
Yveltal,717,Heal Block
Yveltal,717,Heat Wave
Yveltal,717,Hurricane
Yveltal,717,Hyper Beam
Yveltal,717,Hyper Voice
Yveltal,717,Oblivion Wing
Yveltal,717,Ominous Wind
Yveltal,717,Phantom Force
Yveltal,717,Protect
Yveltal,717,Psychic
Yveltal,717,Razor Wind
Yveltal,717,Rock Slide
Yveltal,717,Shadow Ball
Yveltal,717,Shadow Claw
Yveltal,717,Sky Attack
Yveltal,717,Snarl
Yveltal,717,Substitute
Yveltal,717,Swift
Yveltal,717,Taunt
Yveltal,717,U-turn
Yveltal,717,Vacuum Wave
Yveltal,717,Zen Headbutt
Gogoat,673,Aerial Ace
Gogoat,673,Body Slam
Gogoat,673,Brick Break
Gogoat,673,Bulk Up
Gogoat,673,Bulldoze
Gogoat,673,Bullet Seed
Gogoat,673,Defense Curl
Gogoat,673,Dig
Gogoat,673,Double-Edge
Gogoat,673,Earthquake
Gogoat,673,Endeavor
Gogoat,673,Endure
Gogoat,673,Energy Ball
Gogoat,673,Facade
Gogoat,673,Giga Drain
Gogoat,673,Giga Impact
Gogoat,673,Grass Knot
Gogoat,673,Grassy Glide
Gogoat,673,Grassy Terrain
Gogoat,673,Growth
Gogoat,673,Helping Hand
Gogoat,673,High Horsepower
Gogoat,673,Horn Leech
Gogoat,673,Hyper Beam
Gogoat,673,Leaf Blade
Gogoat,673,Leaf Storm
Gogoat,673,Leech Seed
Gogoat,673,Magical Leaf
Gogoat,673,Megahorn
Gogoat,673,Milk Drink
Gogoat,673,Mud Shot
Gogoat,673,Mud-Slap
Gogoat,673,Play Rough
Gogoat,673,Protect
Gogoat,673,Rain Dance
Gogoat,673,Razor Leaf
Gogoat,673,Rest
Gogoat,673,Roar
Gogoat,673,Rock Slide
Gogoat,673,Rollout
Gogoat,673,Seed Bomb
Gogoat,673,Skull Bash
Gogoat,673,Sleep Talk
Gogoat,673,Solar Beam
Gogoat,673,Solar Blade
Gogoat,673,Stomping Tantrum
Gogoat,673,Substitute
Gogoat,673,Sunny Day
Gogoat,673,Surf
Gogoat,673,Synthesis
Gogoat,673,Tackle
Gogoat,673,Tail Whip
Gogoat,673,Take Down
Gogoat,673,Tera Blast
Gogoat,673,Throat Chop
Gogoat,673,Trailblaze
Gogoat,673,Vine Whip
Gogoat,673,Wild Charge
Gogoat,673,Worry Seed
Gogoat,673,Zen Headbutt
Aurorus,699,Ancient Power
Aurorus,699,Blizzard
Aurorus,699,Body Slam
Aurorus,699,Bulldoze
Aurorus,699,Calm Mind
Aurorus,699,Charge Beam
Aurorus,699,Chilling Water
Aurorus,699,Dark Pulse
Aurorus,699,Earth Power
Aurorus,699,Earthquake
Aurorus,699,Endure
Aurorus,699,Facade
Aurorus,699,Flash Cannon
Aurorus,699,Freeze-Dry
Aurorus,699,Giga Impact
Aurorus,699,Growl
Aurorus,699,Hyper Beam
Aurorus,699,Hyper Voice
Aurorus,699,Ice Beam
Aurorus,699,Ice Hammer
Aurorus,699,Icicle Spear
Aurorus,699,Icy Wind
Aurorus,699,Iron Defense
Aurorus,699,Iron Head
Aurorus,699,Iron Tail
Aurorus,699,Light Screen
Aurorus,699,Meteor Beam
Aurorus,699,Mist
Aurorus,699,Outrage
Aurorus,699,Protect
Aurorus,699,Psychic
Aurorus,699,Reflect
Aurorus,699,Rock Blast
Aurorus,699,Rock Slide
Aurorus,699,Rock Throw
Aurorus,699,Rock Tomb
Aurorus,699,Safeguard
Aurorus,699,Sheer Cold
Aurorus,699,Stealth Rock
Aurorus,699,Stone Edge
Aurorus,699,Substitute
Aurorus,699,Tackle
Aurorus,699,Take Down
Aurorus,699,Thunder
Aurorus,699,Thunder Wave
Aurorus,699,Thunderbolt
Aurorus,699,Zen Headbutt
Throh,538,Amnesia
Throh,538,Body Slam
Throh,538,Brick Break
Throh,538,Brutal Swing
Throh,538,Bulk Up
Throh,538,Bulldoze
Throh,538,Circle Throw
Throh,538,Close Combat
Throh,538,Dig
Throh,538,Dynamic Punch
Throh,538,Earthquake
Throh,538,Endure
Throh,538,Facade
Throh,538,Fire Punch
Throh,538,Focus Blast
Throh,538,Focus Energy
Throh,538,Giga Impact
Throh,538,Gunk Shot
Throh,538,Ice Punch
Throh,538,Iron Defense
Throh,538,Iron Head
Throh,538,Leer
Throh,538,Low Sweep
Throh,538,Outrage
Throh,538,Poison Jab
Throh,538,Power-Up Punch
Throh,538,Protect
Throh,538,Rock Blast
Throh,538,Rock Slide
Throh,538,Rock Smash
Throh,538,Rock Tomb
Throh,538,Rollout
Throh,538,Seed Bomb
Throh,538,Skull Bash
Throh,538,Stone Edge
Throh,538,Storm Throw
Throh,538,Substitute
Throh,538,Taunt
Throh,538,Thunder Punch
Throh,538,Work Up
Throh,538,Zen Headbutt
Musharna,518,Amnesia
Musharna,518,Calm Mind
Musharna,518,Charge Beam
Musharna,518,Charm
Musharna,518,Curse
Musharna,518,Dazzling Gleam
Musharna,518,Double Team
Musharna,518,Dream Eater
Musharna,518,Endure
Musharna,518,Energy Ball
Musharna,518,Facade
Musharna,518,Future Sight
Musharna,518,Giga Impact
Musharna,518,Heal Block
Musharna,518,Hyper Beam
Musharna,518,Hypnosis
Musharna,518,Light Screen
Musharna,518,Moonblast
Musharna,518,Moonlight
Musharna,518,Ominous Wind
Musharna,518,Protect
Musharna,518,Psybeam
Musharna,518,Psychic
Musharna,518,Psyshock
Musharna,518,Reflect
Musharna,518,Rock Slide
Musharna,518,Rock Tomb
Musharna,518,Safeguard
Musharna,518,Shadow Ball
Musharna,518,Silver Wind
Musharna,518,Substitute
Musharna,518,Swift
Musharna,518,Thunder Wave
Musharna,518,Tri Attack
Musharna,518,Zen Headbutt
Jigglypuff,039,Alluring Voice
Jigglypuff,039,Amnesia
Jigglypuff,039,Baton Pass
Jigglypuff,039,Blizzard
Jigglypuff,039,Body Press
Jigglypuff,039,Body Slam
Jigglypuff,039,Brick Break
Jigglypuff,039,Calm Mind
Jigglypuff,039,Charm
Jigglypuff,039,Chilling Water
Jigglypuff,039,Confusion
Jigglypuff,039,Copycat
Jigglypuff,039,Covet
Jigglypuff,039,Dark Pulse
Jigglypuff,039,Dazzling Gleam
Jigglypuff,039,Defense Curl
Jigglypuff,039,Dig
Jigglypuff,039,Disable
Jigglypuff,039,Disarming Voice
Jigglypuff,039,Double-Edge
Jigglypuff,039,Drain Punch
Jigglypuff,039,Draining Kiss
Jigglypuff,039,Dream Eater
Jigglypuff,039,Echoed Voice
Jigglypuff,039,Encore
Jigglypuff,039,Endeavor
Jigglypuff,039,Endure
Jigglypuff,039,Energy Ball
Jigglypuff,039,Facade
Jigglypuff,039,Fake Out
Jigglypuff,039,Fake Tears
Jigglypuff,039,Fire Blast
Jigglypuff,039,Fire Punch
Jigglypuff,039,Flamethrower
Jigglypuff,039,Fling
Jigglypuff,039,Focus Punch
Jigglypuff,039,Grass Knot
Jigglypuff,039,Gravity
Jigglypuff,039,Gyro Ball
Jigglypuff,039,Headbutt
Jigglypuff,039,Heal Pulse
Jigglypuff,039,Helping Hand
Jigglypuff,039,Hyper Voice
Jigglypuff,039,Ice Beam
Jigglypuff,039,Ice Punch
Jigglypuff,039,Ice Spinner
Jigglypuff,039,Icy Wind
Jigglypuff,039,Knock Off
Jigglypuff,039,Last Resort
Jigglypuff,039,Light Screen
Jigglypuff,039,Magical Leaf
Jigglypuff,039,Metronome
Jigglypuff,039,Mimic
Jigglypuff,039,Misty Explosion
Jigglypuff,039,Misty Terrain
Jigglypuff,039,Moonblast
Jigglypuff,039,Nasty Plot
Jigglypuff,039,Pain Split
Jigglypuff,039,Perish Song
Jigglypuff,039,Play Rough
Jigglypuff,039,Pound
Jigglypuff,039,Present
Jigglypuff,039,Protect
Jigglypuff,039,Psych Up
Jigglypuff,039,Psychic
Jigglypuff,039,Psychic Noise
Jigglypuff,039,Psyshock
Jigglypuff,039,Rain Dance
Jigglypuff,039,Reflect
Jigglypuff,039,Rest
Jigglypuff,039,Rollout
Jigglypuff,039,Round
Jigglypuff,039,Sandstorm
Jigglypuff,039,Self-Destruct
Jigglypuff,039,Shadow Ball
Jigglypuff,039,Sing
Jigglypuff,039,Skill Swap
Jigglypuff,039,Sleep Talk
Jigglypuff,039,Solar Beam
Jigglypuff,039,Spit Up
Jigglypuff,039,Stealth Rock
Jigglypuff,039,Stockpile
Jigglypuff,039,Stored Power
Jigglypuff,039,Substitute
Jigglypuff,039,Sunny Day
Jigglypuff,039,Swallow
Jigglypuff,039,Sweet Kiss
Jigglypuff,039,Swift
Jigglypuff,039,Tackle
Jigglypuff,039,Take Down
Jigglypuff,039,Taunt
Jigglypuff,039,Tera Blast
Jigglypuff,039,Thief
Jigglypuff,039,Thunder
Jigglypuff,039,Thunder Punch
Jigglypuff,039,Thunder Wave
Jigglypuff,039,Thunderbolt
Jigglypuff,039,Trailblaze
Jigglypuff,039,Tri Attack
Jigglypuff,039,Uproar
Jigglypuff,039,Water Pulse
Jigglypuff,039,Wild Charge
Jigglypuff,039,Wish
Jigglypuff,039,Zen Headbutt
Baxcalibur,998,Aerial Ace
Baxcalibur,998,Aqua Tail
Baxcalibur,998,Avalanche
Baxcalibur,998,Bite
Baxcalibur,998,Blizzard
Baxcalibur,998,Body Press
Baxcalibur,998,Body Slam
Baxcalibur,998,Breaking Swipe
Baxcalibur,998,Brick Break
Baxcalibur,998,Bulldoze
Baxcalibur,998,Crunch
Baxcalibur,998,Dig
Baxcalibur,998,Double-Edge
Baxcalibur,998,Draco Meteor
Baxcalibur,998,Dragon Breath
Baxcalibur,998,Dragon Cheer
Baxcalibur,998,Dragon Claw
Baxcalibur,998,Dragon Dance
Baxcalibur,998,Dragon Pulse
Baxcalibur,998,Dragon Rush
Baxcalibur,998,Dragon Tail
Baxcalibur,998,Earthquake
Baxcalibur,998,Endure
Baxcalibur,998,Facade
Baxcalibur,998,False Swipe
Baxcalibur,998,Focus Energy
Baxcalibur,998,Freeze-Dry
Baxcalibur,998,Frost Breath
Baxcalibur,998,Giga Impact
Baxcalibur,998,Glaive Rush
Baxcalibur,998,Helping Hand
Baxcalibur,998,High Horsepower
Baxcalibur,998,Hyper Beam
Baxcalibur,998,Ice Beam
Baxcalibur,998,Ice Fang
Baxcalibur,998,Ice Hammer
Baxcalibur,998,Ice Shard
Baxcalibur,998,Icicle Crash
Baxcalibur,998,Icicle Spear
Baxcalibur,998,Icy Wind
Baxcalibur,998,Iron Head
Baxcalibur,998,Leer
Baxcalibur,998,Outrage
Baxcalibur,998,Protect
Baxcalibur,998,Psychic Fangs
Baxcalibur,998,Rain Dance
Baxcalibur,998,Rest
Baxcalibur,998,Scale Shot
Baxcalibur,998,Scary Face
Baxcalibur,998,Sheer Cold
Baxcalibur,998,Sleep Talk
Baxcalibur,998,Snowscape
Baxcalibur,998,Stomping Tantrum
Baxcalibur,998,Substitute
Baxcalibur,998,Swords Dance
Baxcalibur,998,Tackle
Baxcalibur,998,Take Down
Baxcalibur,998,Tera Blast
Baxcalibur,998,Thunder Fang
Baxcalibur,998,Zen Headbutt
Amoonguss,591,Absorb
Amoonguss,591,Astonish
Amoonguss,591,Body Slam
Amoonguss,591,Bullet Seed
Amoonguss,591,Clear Smog
Amoonguss,591,Dazzling Gleam
Amoonguss,591,Defense Curl
Amoonguss,591,Endure
Amoonguss,591,Energy Ball
Amoonguss,591,Facade
Amoonguss,591,First Impression
Amoonguss,591,Foul Play
Amoonguss,591,Giga Drain
Amoonguss,591,Giga Impact
Amoonguss,591,Grass Knot
Amoonguss,591,Grassy Terrain
Amoonguss,591,Growth
Amoonguss,591,Heal Block
Amoonguss,591,Hex
Amoonguss,591,Hyper Beam
Amoonguss,591,Ingrain
Amoonguss,591,Leaf Storm
Amoonguss,591,Magical Leaf
Amoonguss,591,Mega Drain
Amoonguss,591,Mimic
Amoonguss,591,Mud Shot
Amoonguss,591,Poison Powder
Amoonguss,591,Pollen Puff
Amoonguss,591,Protect
Amoonguss,591,Rage Powder
Amoonguss,591,Rain Dance
Amoonguss,591,Rest
Amoonguss,591,Rollout
Amoonguss,591,Scary Face
Amoonguss,591,Seed Bomb
Amoonguss,591,Skull Bash
Amoonguss,591,Sleep Talk
Amoonguss,591,Sludge Bomb
Amoonguss,591,Solar Beam
Amoonguss,591,Spore
Amoonguss,591,Stomping Tantrum
Amoonguss,591,Stun Spore
Amoonguss,591,Substitute
Amoonguss,591,Sunny Day
Amoonguss,591,Swagger
Amoonguss,591,Sweet Scent
Amoonguss,591,Synthesis
Amoonguss,591,Tera Blast
Amoonguss,591,Torment
Amoonguss,591,Toxic
Amoonguss,591,Toxic Spikes
Amoonguss,591,Venoshock
Amoonguss,591,Worry Seed
Emboar,500,Arm Thrust
Emboar,500,Assurance
Emboar,500,Blast Burn
Emboar,500,Body Press
Emboar,500,Body Slam
Emboar,500,Brick Break
Emboar,500,Bulk Up
Emboar,500,Bulldoze
Emboar,500,Circle Throw
Emboar,500,Close Combat
Emboar,500,Coaching
Emboar,500,Comet Punch
Emboar,500,Curse
Emboar,500,Defense Curl
Emboar,500,Dig
Emboar,500,Double Team
Emboar,500,Double-Edge
Emboar,500,Drain Punch
Emboar,500,Dual Chop
Emboar,500,Earthquake
Emboar,500,Ember
Emboar,500,Endeavor
Emboar,500,Endure
Emboar,500,Facade
Emboar,500,Fire Blast
Emboar,500,Fire Pledge
Emboar,500,Fire Punch
Emboar,500,Fire Spin
Emboar,500,Flame Charge
Emboar,500,Flame Wheel
Emboar,500,Flamethrower
Emboar,500,Flare Blitz
Emboar,500,Fling
Emboar,500,Focus Blast
Emboar,500,Focus Energy
Emboar,500,Focus Punch
Emboar,500,Giga Impact
Emboar,500,Grass Knot
Emboar,500,Gyro Ball
Emboar,500,Hammer Arm
Emboar,500,Hard Press
Emboar,500,Head Smash
Emboar,500,Headbutt
Emboar,500,Heat Crash
Emboar,500,Heat Wave
Emboar,500,Heavy Slam
Emboar,500,Helping Hand
Emboar,500,High Horsepower
Emboar,500,Hyper Beam
Emboar,500,Iron Head
Emboar,500,Knock Off
Emboar,500,Low Kick
Emboar,500,Low Sweep
Emboar,500,Mud-Slap
Emboar,500,Overheat
Emboar,500,Poison Jab
Emboar,500,Power-Up Punch
Emboar,500,Protect
Emboar,500,Rest
Emboar,500,Reversal
Emboar,500,Roar
Emboar,500,Rock Slide
Emboar,500,Rock Smash
Emboar,500,Rock Tomb
Emboar,500,Rollout
Emboar,500,Scald
Emboar,500,Scary Face
Emboar,500,Sleep Talk
Emboar,500,Smack Down
Emboar,500,Smog
Emboar,500,Smokescreen
Emboar,500,Solar Beam
Emboar,500,Solar Blade
Emboar,500,Stomping Tantrum
Emboar,500,Stone Edge
Emboar,500,Storm Throw
Emboar,500,Substitute
Emboar,500,Sucker Punch
Emboar,500,Sunny Day
Emboar,500,Superpower
Emboar,500,Tackle
Emboar,500,Tail Whip
Emboar,500,Take Down
Emboar,500,Taunt
Emboar,500,Temper Flare
Emboar,500,Tera Blast
Emboar,500,Thrash
Emboar,500,Thunder Punch
Emboar,500,Trailblaze
Emboar,500,Vacuum Wave
Emboar,500,Wild Charge
Emboar,500,Will-O-Wisp
Emboar,500,Work Up
Emboar,500,Yawn
Emboar,500,Zen Headbutt
Excadrill,530,Aerial Ace
Excadrill,530,Agility
Excadrill,530,Body Slam
Excadrill,530,Brick Break
Excadrill,530,Bulldoze
Excadrill,530,Crush Claw
Excadrill,530,Curse
Excadrill,530,Dig
Excadrill,530,Double-Edge
Excadrill,530,Drill Run
Excadrill,530,Earth Power
Excadrill,530,Earthquake
Excadrill,530,Endure
Excadrill,530,Facade
Excadrill,530,Fissure
Excadrill,530,Fling
Excadrill,530,Focus Blast
Excadrill,530,Fury Swipes
Excadrill,530,Giga Impact
Excadrill,530,Helping Hand
Excadrill,530,High Horsepower
Excadrill,530,Hone Claws
Excadrill,530,Horn Drill
Excadrill,530,Hyper Beam
Excadrill,530,Iron Defense
Excadrill,530,Iron Head
Excadrill,530,Leer
Excadrill,530,Megahorn
Excadrill,530,Metal Claw
Excadrill,530,Metal Sound
Excadrill,530,Mud Shot
Excadrill,530,Mud-Slap
Excadrill,530,Poison Jab
Excadrill,530,Protect
Excadrill,530,Rapid Spin
Excadrill,530,Rest
Excadrill,530,Rock Blast
Excadrill,530,Rock Slide
Excadrill,530,Rock Smash
Excadrill,530,Rock Tomb
Excadrill,530,Sand Tomb
Excadrill,530,Sandstorm
Excadrill,530,Scary Face
Excadrill,530,Scorching Sands
Excadrill,530,Scratch
Excadrill,530,Shadow Claw
Excadrill,530,Skull Bash
Excadrill,530,Slash
Excadrill,530,Sleep Talk
Excadrill,530,Sludge Bomb
Excadrill,530,Smart Strike
Excadrill,530,Stealth Rock
Excadrill,530,Steel Beam
Excadrill,530,Stomping Tantrum
Excadrill,530,Substitute
Excadrill,530,Sunny Day
Excadrill,530,Swords Dance
Excadrill,530,Tackle
Excadrill,530,Take Down
Excadrill,530,Tera Blast
