Rank,Tier,Pokemon,Legendary,Score,Type1,Type2,Attack_Style,Burst,Safety,Mobility,AoE,Survivability,Item,4x_Weak,Best_Moves
21,B,Glimmora,No,277.5,Rock,Poison,Special,91.0,100,103,418.6,10.0,Life Orb,Ground,Eruption(Fire); Sludge Wave(Poison); Meteor Beam(Rock); Blizzard(Ice)
22,B,Jolteon,No,273.6,Electric,,Special,77.0,100,156,395.2,30.4,Life Orb,,Eruption(Fire); Thunder(Electric); Discharge(Electric); Blizzard(Ice)
23,B,Glaceon,No,272.6,Ice,,Special,91.0,100,78,410.8,10.0,Life Orb,,Blizzard(Ice); Eruption(Fire); Ice Beam(Ice); Focus Blast(Fighting)
24,B,Gardevoir,No,267.1,Psychic,Fairy,Special,87.5,100,80,395.2,10.0,Life Orb,,Eruption(Fire); Dazzling Gleam(Fairy); Psystrike(Psychic); Blizzard(Ice)
25,B,Magearna,Yes,259.4,Steel,Fairy,Special,91.0,100,65,395.2,42.0,Assault Vest,,Steel Beam(Steel); Eruption(Fire); Dazzling Gleam(Fairy); Blizzard(Ice)
26,B,Dragalge,No,254.1,Poison,Dragon,Special,67.9,100,44,418.6,10.0,Life Orb,,Draco Meteor(Dragon); Eruption(Fire); Sludge Wave(Poison); Blizzard(Ice)
27,B,Mewtwo,Yes,251.1,Psychic,,Special,107.8,100,104,270.4,37.4,Life Orb,,Eruption(Fire); Psystrike(Psychic); Blizzard(Ice); Psychic(Psychic)
28,B,Excadrill,No,249.8,Ground,Steel,Physical,105.3,40,88,343.2,10.0,Life Orb,,Precipice Blades(Ground); Earthquake(Ground); Heavy Slam(Steel); High Horsepower(Ground)
29,B,Garchomp,No,241.9,Dragon,Ground,Physical,101.4,40,82,343.2,10.0,Life Orb,Ice,Precipice Blades(Ground); Earthquake(Ground); Outrage(Dragon); Glaive Rush(Dragon)
30,B,Espeon,No,239.4,Psychic,,Special,91.0,100,132,270.4,10.0,Life Orb,,Eruption(Fire); Psystrike(Psychic); Blizzard(Ice); Psychic(Psychic)
31,C,Gholdengo,No,237.2,Steel,Ghost,Special,93.1,100,84,270.4,10.0,Life Orb,,Steel Beam(Steel); Eruption(Fire); Blizzard(Ice); Flash Cannon(Steel)
32,C,Rayquaza,Yes,237.1,Dragon,Flying,Special,105.0,100,57,270.4,10.0,Life Orb,Ice,Draco Meteor(Dragon); Eruption(Fire); Hurricane(Flying); Blizzard(Ice)
33,C,Latios,Yes,235.6,Dragon,Psychic,Special,91.0,100,110,270.4,10.0,Life Orb,,Draco Meteor(Dragon); Eruption(Fire); Psystrike(Psychic); Blizzard(Ice)
34,C,Hoopa,Yes,235.5,Psychic,Ghost,Special,105.0,100,56,270.4,10.0,Life Orb,"Ghost,Dark",Eruption(Fire); Psystrike(Psychic); Blizzard(Ice); Psychic(Psychic)
35,C,Yveltal,Yes,234.4,Dark,Flying,Special,91.7,100,79,270.4,19.6,Life Orb,,Eruption(Fire); Hurricane(Flying); Blizzard(Ice); Dark Pulse(Dark)
36,C,Zygarde,Yes,231.7,Dragon,Ground,Physical,78.0,40,57,343.2,101.3,Life Orb,Ice,Precipice Blades(Ground); Earthquake(Ground); Outrage(Dragon); Glaive Rush(Dragon)
37,C,Swampert,No,230.5,Water,Ground,Physical,85.8,40,48,343.2,44.0,Life Orb,Grass,Precipice Blades(Ground); Earthquake(Ground); Wave Crash(Water); High Horsepower(Ground)
38,C,Goodra,No,230.4,Dragon,,Special,77.0,100,64,353.6,21.0,Assault Vest,,Draco Meteor(Dragon); Eruption(Fire); Blizzard(Ice); Dragon Pulse(Dragon)
39,C,Genesect,Yes,229.9,Bug,Steel,Special,84.0,100,99,270.4,10.0,Life Orb,Fire,Steel Beam(Steel); Eruption(Fire); Blizzard(Ice); Bug Buzz(Bug)
40,C,Lucario,No,227.4,Fighting,Steel,Special,80.5,100,90,270.4,10.0,Life Orb,,Steel Beam(Steel); Eruption(Fire); Focus Blast(Fighting); Blizzard(Ice)
41,C,Latias,Yes,225.1,Dragon,Psychic,Special,77.0,100,110,270.4,10.0,Life Orb,,Draco Meteor(Dragon); Eruption(Fire); Psystrike(Psychic); Blizzard(Ice)
42,C,Noivern,No,219.2,Flying,Dragon,Special,67.9,100,123,270.4,10.0,Life Orb,Ice,Draco Meteor(Dragon); Eruption(Fire); Hurricane(Flying); Blizzard(Ice)
43,C,Cobalion,Yes,217.4,Steel,Fighting,Special,63.0,100,108,270.4,13.5,Life Orb,,Steel Beam(Steel); Eruption(Fire); Focus Blast(Fighting); Blizzard(Ice)
44,C,Virizion,Yes,211.8,Grass,Fighting,Special,63.0,100,108,270.4,10.0,Life Orb,Flying,Leaf Storm(Grass); Eruption(Fire); Focus Blast(Fighting); Blizzard(Ice)
45,C,Steelix,No,210.1,Steel,Ground,Physical,66.3,40,18,343.2,10.0,Life Orb,,Precipice Blades(Ground); Earthquake(Ground); Heavy Slam(Steel); High Horsepower(Ground)
46,C,Terrakion,Yes,209.2,Rock,Fighting,Physical,100.6,40,108,221.0,10.0,Life Orb,,Head Smash(Rock); Close Combat(Fighting); Superpower(Fighting); Stone Edge(Rock)
47,C,Goodra-Hisui,No,207.9,Dragon,Steel,Special,77.0,100,48,270.4,40.0,Assault Vest,,Steel Beam(Steel); Draco Meteor(Dragon); Eruption(Fire); Blizzard(Ice)
48,C,Tyranitar,No,186.5,Rock,Dark,Physical,104.5,40,49,221.0,10.0,Assault Vest,Fighting,Head Smash(Rock); Stone Edge(Rock); Rock Slide(Rock); Knock Off(Dark)
49,C,Aggron,No,186.1,Steel,Rock,Physical,85.8,40,40,221.0,10.0,Life Orb,"Fighting,Ground",Head Smash(Rock); Heavy Slam(Steel); Stone Edge(Rock); Rock Slide(Rock)
50,C,Zeraora,Yes,180.5,Electric,,Physical,87.4,40,172,104.0,48.2,Life Orb,,Wild Charge(Electric); Earthquake(Ground); Close Combat(Fighting); Flare Blitz(Fire)
51,D,Baxcalibur,No,177.9,Dragon,Ice,Physical,113.1,40,70,104.0,10.0,Life Orb,,Outrage(Dragon); Glaive Rush(Dragon); Earthquake(Ground); Icicle Crash(Ice)
52,D,Melmetal,Yes,177.4,Steel,,Physical,111.5,40,20,104.0,47.4,Life Orb,,Heavy Slam(Steel); Meteor Mash(Steel); Earthquake(Ground); Iron Head(Steel)
53,D,Marshadow,Yes,176.5,Fighting,Ghost,Physical,97.5,40,125,104.0,10.0,Life Orb,,Close Combat(Fighting); Superpower(Fighting); Poltergeist(Ghost); Phantom Force(Ghost)
54,D,Salamence,No,172.9,Dragon,Flying,Physical,105.3,40,80,104.0,10.0,Life Orb,Ice,Outrage(Dragon); Glaive Rush(Dragon); Brave Bird(Flying); Acrobatics(Flying)
55,D,Ceruledge,No,171.0,Fire,Ghost,Physical,97.5,40,85,104.0,10.0,Life Orb,,Flare Blitz(Fire); Poltergeist(Ghost); Phantom Force(Ghost); Earthquake(Ground)
56,D,Scizor,No,169.9,Bug,Steel,Physical,101.4,40,65,104.0,10.0,Life Orb,Fire,Megahorn(Bug); Heavy Slam(Steel); Meteor Mash(Steel); Earthquake(Ground)
57,D,Dragonite,No,169.9,Dragon,Flying,Physical,104.5,40,64,104.0,10.0,Life Orb,Ice,Outrage(Dragon); Glaive Rush(Dragon); Brave Bird(Flying); Acrobatics(Flying)
58,D,Gallade,No,168.5,Psychic,Fighting,Physical,97.5,40,80,104.0,10.0,Life Orb,,Close Combat(Fighting); Superpower(Fighting); Earthquake(Ground); Zen Headbutt(Psychic)
59,D,Blaziken,No,166.1,Fire,Fighting,Physical,93.6,40,80,104.0,10.0,Life Orb,,Flare Blitz(Fire); Close Combat(Fighting); Superpower(Fighting); Earthquake(Ground)
60,D,Annihilape,No,166.1,Fighting,Ghost,Physical,89.7,40,90,104.0,15.5,Life Orb,,Close Combat(Fighting); Superpower(Fighting); Poltergeist(Ghost); Phantom Force(Ghost)
61,D,Gyarados,No,165.7,Water,Flying,Physical,97.5,40,65,104.0,10.0,Life Orb,Electric,Wave Crash(Water); Brave Bird(Flying); Acrobatics(Flying); Earthquake(Ground)
62,D,Eelektross,No,165.5,Electric,,Physical,89.7,40,60,104.0,48.0,Life Orb,,Wild Charge(Electric); Earthquake(Ground); Close Combat(Fighting); Flare Blitz(Fire)
63,D,Feraligatr,No,158.3,Water,,Physical,81.9,40,62,104.0,35.8,Life Orb,,Wave Crash(Water); Earthquake(Ground); Liquidation(Water); Waterfall(Water)
64,D,Metagross,No,157.8,Steel,Psychic,Physical,105.3,40,56,104.0,10.0,Assault Vest,,Heavy Slam(Steel); Meteor Mash(Steel); Earthquake(Ground); Iron Head(Steel)
65,D,Dondozo,No,154.9,Water,,Physical,78.0,40,21,104.0,84.0,Life Orb,,Wave Crash(Water); Earthquake(Ground); Liquidation(Water); Waterfall(Water)
66,D,Tinkaton,No,150.7,Fairy,Steel,Physical,58.5,40,113,104.0,33.3,Life Orb,,Heavy Slam(Steel); Play Rough(Fairy); Meteor Mash(Steel); Earthquake(Ground)
67,D,Corviknight,No,149.8,Flying,Steel,Physical,67.9,40,54,104.0,43.1,Life Orb,,Brave Bird(Flying); Acrobatics(Flying); Heavy Slam(Steel); Meteor Mash(Steel)
68,D,Skarmory,No,145.9,Steel,Flying,Physical,62.4,40,70,104.0,24.2,Life Orb,,Brave Bird(Flying); Acrobatics(Flying); Heavy Slam(Steel); Meteor Mash(Steel)
69,D,Umbreon,No,139.4,Dark,,Physical,50.7,40,78,104.0,56.0,Life Orb,,Knock Off(Dark); Earthquake(Ground); Crunch(Dark); Throat Chop(Dark)
